id_cliente,produto,data_contratacao,status,canal_contratacao
65,conta_digital_plus,2024-08-13,ativo,agencia
65,consorcio_auto,2024-01-13,cancelado,agencia
66,conta_digital_plus,2024-01-15,ativo,web
67,conta_digital_plus,2025-08-25,ativo,app
67,credito_pessoal,2024-08-10,ativo,app
68,previdencia,2025-07-18,ativo,agencia
69,cheque_especial,2025-09-05,ativo,web
70,investimento_lci_lca,2024-08-11,ativo,agencia
70,seguro_vida,2025-07-30,ativo,web
71,cheque_especial,2024-07-01,ativo,web
72,cheque_especial,2025-02-25,ativo,web
73,credito_pessoal,2025-04-30,ativo,agencia
75,cartao_platinum,2024-04-15,ativo,agencia
76,investimento_cdb,2025-05-06,ativo,app
77,conta_digital_plus,2025-08-26,ativo,web
77,cheque_especial,2025-02-01,ativo,app
79,credito_pessoal,2025-04-14,vencido,agencia
80,cheque_especial,2025-01-01,ativo,app
80,pix_parcelado,2025-01-10,ativo,telemarketing
80,credito_consignado,2024-12-07,ativo,app
81,cartao_platinum,2024-05-26,ativo,web
81,seguro_auto,2025-05-12,ativo,web
83,conta_digital_plus,2025-01-12,ativo,web
83,credito_pessoal,2025-02-28,ativo,app
84,credito_pessoal,2025-11-11,ativo,app
85,credito_pessoal,2025-02-01,ativo,app
86,credito_pessoal,2024-06-19,cancelado,web
86,conta_digital_plus,2025-04-25,ativo,web
87,credito_pessoal,2024-04-19,ativo,app
88,cartao_platinum,2025-10-30,ativo,web
89,cheque_especial,2024-02-23,cancelado,app
89,cartao_platinum,2025-06-02,ativo,web
89,investimento_cdb,2025-02-22,ativo,app
90,conta_digital_plus,2024-09-04,ativo,app
92,seguro_vida,2025-07-10,ativo,telemarketing
93,cartao_platinum,2024-11-16,ativo,telemarketing
93,seguro_auto,2024-08-27,ativo,app
94,seguro_viagem,2024-10-18,ativo,telemarketing
95,investimento_lci_lca,2024-05-29,ativo,telemarketing
96,pix_parcelado,2025-05-08,ativo,app
96,cheque_especial,2025-02-18,ativo,web
97,conta_digital_plus,2024-09-05,ativo,web
99,cheque_especial,2025-07-29,ativo,web
100,credito_pessoal,2025-01-03,ativo,app
102,seguro_auto,2024-01-15,ativo,agencia
102,conta_digital_plus,2024-04-11,vencido,agencia
102,cartao_platinum,2025-07-24,ativo,agencia
104,credito_pessoal,2024-02-23,ativo,agencia
105,investimento_lci_lca,2025-08-12,ativo,web
106,credito_pessoal,2024-07-17,cancelado,web
107,cheque_especial,2024-09-25,ativo,app
108,conta_digital_plus,2024-04-25,ativo,web
109,credito_pessoal,2025-01-10,ativo,app
110,cheque_especial,2025-08-31,ativo,telemarketing
111,credito_pessoal,2025-07-24,ativo,app
112,investimento_cdb,2024-11-22,ativo,app
113,investimento_cdb,2025-12-19,ativo,web
114,credito_pessoal,2025-10-23,ativo,app
114,cartao_platinum,2025-12-28,cancelado,agencia
115,cheque_especial,2024-04-23,ativo,agencia
116,investimento_cdb,2024-11-27,ativo,app
117,consorcio_auto,2025-03-05,ativo,telemarketing
117,investimento_cdb,2025-05-13,ativo,app
117,cartao_platinum,2025-02-07,ativo,agencia
118,cheque_especial,2024-08-18,ativo,app
119,cartao_black,2025-09-23,ativo,app
119,previdencia,2024-12-26,ativo,app
121,conta_digital_plus,2024-10-25,ativo,app
122,cheque_especial,2025-07-27,ativo,agencia
122,conta_digital_plus,2024-07-01,ativo,app
122,portabilidade_salario,2025-03-13,ativo,agencia
122,seguro_auto,2024-05-08,ativo,telemarketing
122,investimento_cdb,2024-05-02,ativo,app
125,credito_pessoal,2024-04-10,ativo,telemarketing
125,consorcio_auto,2025-02-28,ativo,app
126,credito_pessoal,2024-01-11,ativo,app
127,previdencia,2024-10-02,ativo,app
127,cartao_platinum,2025-12-04,vencido,web
128,seguro_auto,2024-11-25,ativo,web
128,cheque_especial,2024-11-20,cancelado,web
129,conta_digital_plus,2025-08-20,ativo,web
129,credito_pessoal,2025-07-29,ativo,agencia
130,credito_pessoal,2025-09-22,ativo,telemarketing
132,conta_digital_plus,2025-03-09,ativo,agencia
133,credito_pessoal,2024-11-18,vencido,agencia
133,pix_parcelado,2024-11-01,ativo,app
134,investimento_cdb,2025-04-16,ativo,app
136,consorcio_auto,2024-01-26,ativo,app
136,seguro_vida,2025-04-02,ativo,app
137,cartao_platinum,2024-04-12,ativo,app
137,credito_pessoal,2024-06-14,ativo,agencia
137,conta_digital_plus,2024-07-01,ativo,app
138,credito_pessoal,2024-12-12,ativo,app
139,cheque_especial,2025-07-19,ativo,app
140,seguro_residencial,2024-03-21,ativo,app
140,previdencia,2025-05-27,ativo,app
140,seguro_auto,2024-11-26,ativo,web
140,credito_consignado,2025-03-03,ativo,app
141,conta_digital_plus,2024-11-06,ativo,agencia
141,cartao_platinum,2025-12-06,ativo,app
142,pix_parcelado,2025-04-05,ativo,app
143,seguro_residencial,2025-01-22,ativo,web
143,conta_digital_plus,2024-12-28,ativo,app
144,previdencia,2024-02-16,ativo,agencia
144,credito_pessoal,2025-08-25,ativo,telemarketing
145,credito_consignado,2025-11-25,ativo,app
145,cheque_especial,2025-01-19,ativo,app
146,consorcio_auto,2024-02-09,ativo,app
147,cartao_black,2025-01-04,ativo,app
148,credito_pessoal,2025-04-29,ativo,app
148,conta_digital_plus,2024-04-28,ativo,agencia
149,pix_parcelado,2025-01-09,ativo,app
149,conta_digital_plus,2024-03-19,cancelado,web
150,conta_digital_plus,2024-10-02,ativo,web
150,credito_pessoal,2025-07-27,ativo,agencia
151,cartao_platinum,2025-07-06,cancelado,app
151,conta_digital_plus,2024-11-17,ativo,app
151,seguro_residencial,2024-09-26,ativo,web
153,conta_digital_plus,2024-12-25,ativo,agencia
153,seguro_residencial,2024-04-29,ativo,app
153,credito_pessoal,2025-09-25,ativo,app
153,investimento_cdb,2025-02-03,ativo,web
155,seguro_auto,2024-12-19,cancelado,web
155,cartao_platinum,2024-02-23,cancelado,agencia
155,seguro_residencial,2024-12-25,ativo,web
155,investimento_cdb,2025-06-16,ativo,app
155,credito_pessoal,2024-12-23,ativo,app
156,previdencia,2025-08-02,ativo,app
157,credito_pessoal,2025-05-07,cancelado,agencia
157,cheque_especial,2024-07-31,ativo,app
157,seguro_auto,2024-09-01,ativo,app
158,consorcio_auto,2025-12-12,ativo,app
158,cheque_especial,2024-06-30,ativo,telemarketing
158,previdencia,2024-01-09,ativo,app
158,seguro_auto,2024-07-05,ativo,agencia
159,seguro_vida,2025-06-26,ativo,app
161,credito_pessoal,2025-02-08,ativo,agencia
161,seguro_vida,2024-10-21,ativo,web
162,portabilidade_salario,2024-10-19,ativo,telemarketing
162,cartao_platinum,2025-09-10,ativo,web
163,pix_parcelado,2024-10-29,ativo,agencia
164,seguro_vida,2024-02-21,ativo,web
167,cheque_especial,2024-10-16,ativo,app
167,previdencia,2024-08-02,ativo,web
168,conta_digital_plus,2025-06-10,ativo,agencia
168,seguro_vida,2025-12-17,ativo,app
168,consorcio_auto,2024-11-07,ativo,app
169,conta_digital_plus,2024-09-17,ativo,agencia
169,previdencia,2025-07-29,cancelado,app
170,seguro_vida,2024-08-06,ativo,agencia
171,conta_digital_plus,2024-04-21,ativo,app
171,seguro_auto,2025-06-16,cancelado,app
171,consorcio_auto,2024-09-07,ativo,app
172,conta_digital_plus,2025-03-09,ativo,agencia
173,cheque_especial,2025-08-26,cancelado,app
173,credito_pessoal,2025-05-18,ativo,app
173,investimento_cdb,2025-07-05,ativo,app
174,cheque_especial,2025-09-28,ativo,web
175,credito_pessoal,2025-04-25,ativo,agencia
177,previdencia,2025-09-14,ativo,app
179,seguro_auto,2025-03-15,ativo,app
179,seguro_vida,2024-10-15,cancelado,web
179,previdencia,2024-04-13,ativo,app
180,consorcio_auto,2024-09-10,ativo,telemarketing
180,credito_pessoal,2024-10-08,ativo,telemarketing
181,credito_pessoal,2025-08-12,ativo,app
182,cheque_especial,2024-02-11,ativo,telemarketing
183,seguro_auto,2025-07-23,ativo,web
183,cartao_platinum,2025-11-06,ativo,app
185,cartao_platinum,2024-07-21,ativo,web
186,pix_parcelado,2025-06-07,ativo,telemarketing
188,credito_pessoal,2024-11-14,ativo,web
188,investimento_cdb,2024-06-17,ativo,app
188,portabilidade_salario,2024-06-12,ativo,app
190,cheque_especial,2024-08-12,ativo,telemarketing
193,investimento_cdb,2025-12-18,vencido,web
195,conta_digital_plus,2024-11-25,cancelado,telemarketing
195,credito_pessoal,2025-03-03,ativo,web
195,cartao_platinum,2024-02-19,ativo,app
197,conta_digital_plus,2025-11-13,ativo,app
198,investimento_cdb,2024-01-15,ativo,app
198,cartao_platinum,2025-02-08,ativo,app
203,previdencia,2025-12-21,ativo,app
204,portabilidade_salario,2024-07-07,ativo,app
204,seguro_auto,2024-03-06,ativo,app
205,conta_digital_plus,2025-04-03,cancelado,app
208,investimento_cdb,2024-03-05,ativo,app
208,cheque_especial,2025-05-27,ativo,agencia
209,conta_digital_plus,2024-03-07,ativo,agencia
210,investimento_cdb,2025-05-05,cancelado,web
211,cheque_especial,2024-12-10,ativo,app
212,conta_digital_plus,2025-06-28,ativo,app
214,pix_parcelado,2024-05-19,ativo,agencia
216,cheque_especial,2024-12-14,ativo,telemarketing
217,cartao_platinum,2025-11-06,ativo,agencia
218,conta_digital_plus,2025-02-13,ativo,web
219,conta_digital_plus,2025-06-17,ativo,app
219,investimento_cdb,2025-02-17,ativo,agencia
220,credito_pessoal,2024-12-22,ativo,app
221,cheque_especial,2025-06-30,ativo,web
221,credito_consignado,2025-01-10,ativo,app
223,pix_parcelado,2024-04-08,ativo,web
223,credito_pessoal,2024-04-13,ativo,app
224,pix_parcelado,2024-05-25,ativo,agencia
227,seguro_vida,2025-03-05,ativo,app
227,previdencia,2025-09-21,ativo,agencia
228,cheque_especial,2025-04-11,vencido,web
229,investimento_cdb,2024-07-15,ativo,app
230,investimento_lci_lca,2025-01-08,ativo,agencia
231,conta_digital_plus,2025-09-03,ativo,web
231,credito_pessoal,2025-11-02,ativo,app
233,credito_pessoal,2025-10-06,ativo,agencia
233,seguro_auto,2024-09-01,ativo,app
234,conta_digital_plus,2024-04-12,ativo,app
236,seguro_auto,2025-06-21,ativo,app
236,portabilidade_salario,2025-05-22,ativo,web
236,credito_consignado,2024-10-13,ativo,telemarketing
239,titulo_capitalizacao,2025-12-04,ativo,web
240,conta_digital_plus,2024-09-25,ativo,telemarketing
240,cartao_platinum,2024-10-21,ativo,web
241,seguro_vida,2024-10-11,ativo,telemarketing
244,cheque_especial,2024-11-24,ativo,web
244,conta_digital_plus,2024-07-05,ativo,agencia
244,consorcio_imovel,2024-02-27,ativo,app
244,credito_pessoal,2025-12-15,cancelado,app
245,pix_parcelado,2025-01-18,ativo,web
245,cheque_especial,2025-02-08,ativo,web
246,uso_lastro_limite,2024-12-30,ativo,app
246,cartao_platinum,2025-12-27,ativo,agencia
248,investimento_lci_lca,2025-08-31,ativo,agencia
248,seguro_residencial,2024-08-07,ativo,app
249,credito_pessoal,2025-04-07,ativo,app
249,seguro_auto,2025-07-22,ativo,agencia
249,investimento_cdb,2024-04-01,ativo,web
250,cartao_platinum,2024-10-10,ativo,telemarketing
252,cartao_platinum,2024-06-15,ativo,telemarketing
252,cheque_especial,2024-08-14,ativo,agencia
253,previdencia,2025-07-30,cancelado,agencia
255,credito_consignado,2025-05-17,ativo,telemarketing
255,cartao_platinum,2024-07-01,ativo,agencia
257,previdencia,2025-11-05,ativo,web
259,investimento_cdb,2024-11-18,ativo,web
260,credito_pessoal,2024-06-03,ativo,agencia
260,conta_digital_plus,2025-11-17,ativo,app
263,credito_pessoal,2025-04-02,ativo,agencia
263,seguro_vida,2025-02-12,ativo,app
264,conta_digital_plus,2025-05-27,ativo,web
265,seguro_vida,2025-11-06,ativo,app
265,cheque_especial,2025-10-04,ativo,agencia
266,pix_parcelado,2025-06-05,ativo,app
266,seguro_vida,2025-02-02,ativo,app
266,cartao_platinum,2025-01-12,ativo,agencia
268,investimento_cdb,2025-07-15,ativo,web
268,cheque_especial,2025-08-18,ativo,app
269,cheque_especial,2024-07-01,ativo,app
271,seguro_vida,2025-09-14,ativo,agencia
271,cheque_especial,2024-12-25,ativo,app
273,cartao_platinum,2025-12-13,ativo,app
273,investimento_cdb,2025-06-14,ativo,app
274,seguro_viagem,2025-11-05,ativo,agencia
274,investimento_cdb,2025-01-28,ativo,agencia
274,seguro_residencial,2025-02-27,ativo,web
275,seguro_vida,2024-12-10,ativo,app
276,conta_digital_plus,2024-11-09,ativo,agencia
277,cartao_platinum,2024-09-03,ativo,agencia
277,conta_digital_plus,2024-01-02,ativo,app
277,credito_pessoal,2025-07-27,ativo,app
277,pix_parcelado,2024-06-02,ativo,app
278,conta_digital_plus,2025-06-24,vencido,agencia
278,credito_consignado,2024-07-07,ativo,web
279,credito_pessoal,2024-08-07,ativo,agencia
280,credito_pessoal,2024-05-23,ativo,app
281,tesouro_direto,2024-08-22,ativo,app
281,investimento_lci_lca,2025-05-06,ativo,web
281,previdencia,2025-05-15,ativo,web
282,investimento_cdb,2025-09-13,ativo,app
283,investimento_cdb,2024-01-18,ativo,telemarketing
284,consorcio_auto,2025-05-12,ativo,agencia
284,cheque_especial,2024-06-17,ativo,app
284,credito_pessoal,2024-09-01,ativo,app
287,portabilidade_salario,2025-06-14,ativo,web
287,investimento_cdb,2024-03-29,cancelado,agencia
287,conta_digital_plus,2024-12-07,ativo,telemarketing
287,credito_pessoal,2024-11-01,ativo,app
288,previdencia,2024-10-01,ativo,agencia
289,tesouro_direto,2025-03-03,ativo,web
289,conta_digital_plus,2024-08-27,ativo,agencia
290,seguro_viagem,2025-10-30,ativo,app
291,conta_digital_plus,2025-11-29,ativo,app
292,pix_parcelado,2024-01-22,ativo,app
292,credito_consignado,2024-06-05,ativo,app
293,portabilidade_salario,2024-06-22,ativo,app
294,credito_pessoal,2024-08-09,ativo,agencia
295,credito_pessoal,2025-06-22,ativo,agencia
296,seguro_vida,2024-12-16,ativo,app
296,credito_pessoal,2025-04-27,ativo,app
297,credito_consignado,2024-01-17,ativo,app
297,tesouro_direto,2024-06-08,ativo,web
299,consorcio_auto,2025-11-19,cancelado,app
299,previdencia,2024-09-08,ativo,web
300,seguro_auto,2025-03-02,ativo,app
300,cheque_especial,2025-06-18,ativo,app
300,credito_pessoal,2024-02-11,cancelado,app
301,seguro_vida,2024-04-24,ativo,telemarketing
303,credito_consignado,2025-02-03,ativo,app
303,conta_digital_plus,2024-06-09,ativo,agencia
304,conta_digital_plus,2025-08-15,ativo,agencia
305,credito_pessoal,2024-08-17,ativo,agencia
305,conta_digital_plus,2024-12-13,ativo,app
306,investimento_lci_lca,2025-03-02,ativo,telemarketing
306,seguro_auto,2024-01-14,ativo,agencia
308,conta_digital_plus,2024-09-16,ativo,web
308,pix_parcelado,2025-05-26,ativo,agencia
308,credito_pessoal,2025-11-25,ativo,app
309,cheque_especial,2024-08-26,ativo,app
309,seguro_auto,2024-08-14,ativo,web
309,cartao_platinum,2024-03-29,ativo,web
309,investimento_lci_lca,2024-10-17,ativo,app
310,cheque_especial,2024-01-22,ativo,web
311,pix_parcelado,2025-05-02,ativo,telemarketing
313,pix_parcelado,2025-04-17,ativo,app
315,cartao_platinum,2024-06-14,ativo,web
316,conta_digital_plus,2025-10-17,ativo,app
317,credito_pessoal,2024-11-30,ativo,agencia
319,credito_pessoal,2024-04-03,ativo,web
321,cheque_especial,2024-11-08,ativo,app
325,cartao_platinum,2025-06-15,ativo,telemarketing
326,credito_pessoal,2025-11-07,ativo,app
326,portabilidade_salario,2025-04-20,ativo,web
327,credito_pessoal,2024-09-02,ativo,app
327,conta_digital_plus,2025-04-22,ativo,app
327,portabilidade_salario,2024-01-24,ativo,telemarketing
328,consorcio_auto,2024-04-29,ativo,app
328,previdencia,2025-03-07,ativo,app
330,cartao_platinum,2024-04-01,ativo,web
330,consorcio_auto,2025-11-05,ativo,app
331,credito_pessoal,2024-08-25,ativo,app
333,consorcio_auto,2024-11-04,ativo,web
334,seguro_vida,2025-04-25,ativo,app
336,pix_parcelado,2024-10-29,ativo,app
336,cheque_especial,2025-02-06,cancelado,app
339,cheque_especial,2024-07-29,ativo,app
339,credito_pessoal,2025-03-16,ativo,app
339,titulo_capitalizacao,2024-02-16,ativo,web
340,credito_pessoal,2024-07-22,ativo,web
340,conta_digital_plus,2024-03-15,ativo,app
340,investimento_cdb,2025-09-20,ativo,telemarketing
341,previdencia,2025-03-20,ativo,telemarketing
341,cheque_especial,2025-08-04,ativo,app
342,consorcio_auto,2024-08-19,ativo,agencia
342,seguro_vida,2024-08-30,ativo,agencia
342,conta_digital_plus,2025-11-29,ativo,app
343,credito_pessoal,2025-05-22,ativo,agencia
343,conta_digital_plus,2024-06-22,vencido,agencia
344,pix_parcelado,2024-07-21,ativo,web
345,cheque_especial,2025-04-01,cancelado,app
345,consorcio_auto,2025-09-11,ativo,app
345,credito_pessoal,2025-02-09,ativo,app
346,cartao_platinum,2025-01-18,ativo,agencia
346,conta_digital_plus,2025-09-23,ativo,agencia
347,investimento_cdb,2024-02-02,ativo,agencia
347,seguro_vida,2025-03-15,ativo,app
348,conta_digital_plus,2025-03-05,vencido,app
349,conta_digital_plus,2024-02-21,ativo,app
349,credito_pessoal,2024-10-02,ativo,agencia
349,investimento_cdb,2024-04-19,cancelado,app
349,portabilidade_salario,2025-11-21,ativo,agencia
351,consorcio_auto,2024-01-26,ativo,telemarketing
352,seguro_viagem,2025-01-17,ativo,app
352,conta_digital_plus,2025-05-17,ativo,agencia
353,credito_pessoal,2025-12-08,ativo,telemarketing
353,portabilidade_salario,2024-12-07,ativo,web
355,conta_digital_plus,2025-11-22,ativo,agencia
356,seguro_residencial,2024-06-12,ativo,web
356,seguro_vida,2024-10-18,ativo,app
357,pix_parcelado,2024-12-24,ativo,app
357,investimento_cdb,2025-10-26,ativo,web
360,seguro_vida,2025-11-08,ativo,app
363,credito_pessoal,2025-12-24,ativo,agencia
364,investimento_cdb,2024-09-19,ativo,web
364,consorcio_auto,2024-04-14,cancelado,telemarketing
365,previdencia,2025-11-16,ativo,telemarketing
366,credito_pessoal,2024-01-18,ativo,app
367,seguro_vida,2025-09-17,ativo,telemarketing
367,seguro_residencial,2025-02-19,ativo,app
367,investimento_cdb,2024-09-06,ativo,web
367,credito_pessoal,2025-08-31,ativo,agencia
368,investimento_cdb,2025-08-23,ativo,app
368,consorcio_auto,2024-07-14,ativo,telemarketing
368,seguro_vida,2024-01-10,ativo,app
369,investimento_lci_lca,2025-11-15,ativo,app
369,conta_digital_plus,2025-05-31,ativo,app
369,pix_parcelado,2025-04-18,ativo,web
372,cartao_platinum,2025-04-08,ativo,app
373,cheque_especial,2025-06-06,cancelado,app
373,conta_digital_plus,2025-10-01,ativo,app
375,credito_pessoal,2025-08-17,ativo,agencia
375,conta_digital_plus,2024-11-09,ativo,app
376,pix_parcelado,2024-10-17,ativo,app
376,cartao_platinum,2025-03-29,ativo,app
377,cheque_especial,2025-04-04,ativo,app
378,cheque_especial,2024-02-26,ativo,telemarketing
378,conta_digital_plus,2025-12-01,ativo,telemarketing
379,seguro_residencial,2025-03-12,cancelado,web
380,pix_parcelado,2025-11-06,ativo,agencia
380,seguro_vida,2025-04-07,ativo,app
380,cheque_especial,2024-05-15,ativo,app
381,pix_parcelado,2025-02-16,cancelado,web
381,cheque_especial,2025-11-27,cancelado,app
383,credito_consignado,2025-08-03,ativo,web
384,cartao_platinum,2024-06-15,ativo,agencia
384,credito_pessoal,2024-12-06,ativo,app
384,portabilidade_salario,2024-07-18,ativo,agencia
384,consorcio_auto,2024-08-15,ativo,app
384,cartao_black,2025-01-15,ativo,app
385,previdencia,2024-08-18,ativo,app
385,conta_digital_plus,2024-04-17,ativo,telemarketing
386,consorcio_auto,2025-05-17,ativo,app
387,cheque_especial,2024-11-11,ativo,web
388,cheque_especial,2024-09-12,ativo,web
389,previdencia,2025-02-08,ativo,agencia
389,credito_pessoal,2025-10-09,ativo,web
390,conta_digital_plus,2025-01-14,ativo,web
390,cartao_platinum,2024-02-22,ativo,web
391,cartao_platinum,2024-11-25,ativo,app
391,seguro_residencial,2025-02-14,ativo,app
391,consorcio_imovel,2024-07-13,ativo,app
394,investimento_lci_lca,2024-10-01,ativo,agencia
395,conta_digital_plus,2025-07-19,ativo,app
397,conta_digital_plus,2024-02-23,ativo,web
397,investimento_lci_lca,2025-06-09,ativo,app
398,credito_pessoal,2024-02-19,ativo,app
399,seguro_vida,2025-12-05,ativo,app
403,credito_consignado,2025-09-19,ativo,app
403,consorcio_auto,2024-09-06,ativo,agencia
404,credito_pessoal,2024-04-28,ativo,app
405,credito_pessoal,2025-06-08,ativo,app
406,cartao_platinum,2025-12-27,ativo,app
408,cheque_especial,2025-10-05,ativo,app
408,investimento_cdb,2024-11-27,ativo,app
409,pix_parcelado,2024-10-01,ativo,web
411,consorcio_auto,2024-08-10,ativo,telemarketing
411,cheque_especial,2024-06-05,ativo,telemarketing
411,credito_pessoal,2024-03-30,ativo,web
412,seguro_auto,2024-01-24,cancelado,web
412,credito_pessoal,2024-04-01,ativo,web
413,investimento_cdb,2024-09-22,ativo,web
413,previdencia,2025-05-15,ativo,telemarketing
415,seguro_vida,2025-02-02,ativo,web
415,consorcio_auto,2024-01-06,ativo,app
416,investimento_cdb,2025-03-24,ativo,app
417,conta_digital_plus,2025-10-07,ativo,app
418,cartao_platinum,2024-01-05,ativo,web
419,credito_pessoal,2024-06-24,ativo,telemarketing
419,investimento_cdb,2025-03-06,cancelado,telemarketing
421,cartao_platinum,2025-02-18,ativo,app
421,cheque_especial,2024-08-28,ativo,web
422,cheque_especial,2025-08-01,ativo,web
423,credito_consignado,2025-05-03,ativo,web
424,seguro_auto,2025-10-24,ativo,app
426,cheque_especial,2025-04-18,ativo,app
426,conta_digital_plus,2025-09-14,vencido,agencia
427,credito_pessoal,2025-03-18,vencido,app
427,investimento_cdb,2024-07-01,ativo,agencia
428,previdencia,2024-08-08,ativo,app
428,investimento_lci_lca,2024-12-04,ativo,app
428,consorcio_imovel,2025-09-10,ativo,agencia
428,seguro_residencial,2025-11-28,ativo,app
428,cartao_black,2024-01-10,ativo,web
429,cheque_especial,2025-01-13,cancelado,app
430,consorcio_auto,2025-09-09,ativo,web
430,conta_digital_plus,2024-11-05,ativo,web
430,credito_consignado,2025-12-27,ativo,agencia
431,cartao_platinum,2025-01-27,ativo,app
432,conta_digital_plus,2024-04-06,vencido,agencia
433,credito_pessoal,2024-03-18,ativo,agencia
435,credito_pessoal,2024-05-04,vencido,web
436,credito_pessoal,2024-05-19,ativo,agencia
436,pix_parcelado,2024-07-31,ativo,telemarketing
437,credito_pessoal,2024-02-13,vencido,app
439,consorcio_imovel,2025-05-13,ativo,app
439,conta_digital_plus,2025-01-28,ativo,web
442,seguro_auto,2025-12-29,ativo,app
442,investimento_cdb,2024-02-08,ativo,web
443,seguro_vida,2024-02-24,ativo,app
445,credito_consignado,2025-02-18,ativo,agencia
446,seguro_residencial,2025-12-20,ativo,app
447,cartao_platinum,2024-04-27,ativo,web
447,seguro_auto,2025-10-19,ativo,app
447,investimento_lci_lca,2024-05-31,ativo,app
448,investimento_cdb,2025-07-01,ativo,app
449,conta_digital_plus,2025-09-14,ativo,app
449,seguro_vida,2024-08-24,ativo,app
451,credito_pessoal,2024-04-23,vencido,app
451,cartao_platinum,2025-09-15,ativo,app
451,pix_parcelado,2025-05-04,ativo,agencia
452,portabilidade_salario,2025-03-11,ativo,app
453,credito_consignado,2024-02-25,ativo,web
453,conta_digital_plus,2025-01-25,ativo,web
454,seguro_auto,2024-04-01,ativo,app
455,previdencia,2024-03-01,ativo,app
455,cheque_especial,2025-11-02,ativo,web
456,cheque_especial,2025-11-08,ativo,telemarketing
457,credito_pessoal,2024-04-06,ativo,web
