id_cliente,idade,genero,uf,segmento,score_credito,renda_mensal,saldo_medio_conta,qtd_meses_cliente,qtd_produtos_ativos,qtd_transacoes_pix_6m,vlr_total_investimentos,vlr_medio_gasto_cartao,vlr_medio_gasto_alimentacao,vlr_medio_gasto_transporte,vlr_medio_gasto_saude,vlr_medio_gasto_educacao,vlr_medio_gasto_lazer,ind_debito_automatico,qtd_dias_inatividade,vlr_limite_credito,pct_utilizacao_limite,canal_preferencial
28,18,M,MA,basico,197.49,1500.0,1048.05,49,0,2,0.0,164.54,51.28,16.89,13.94,15.61,20.22,0,37.0,1070.88,0.1919,app
29,36,F,SP,intermediario,577.12,4744.21,10158.72,69,3,12,7681.76,2115.22,486.55,217.49,166.47,193.27,169.51,0,0.0,2000.0,0.0832,telefone
30,26,Outro,PB,basico,698.15,7025.83,13207.8,8,0,17,,4573.03,827.33,588.66,397.48,330.78,317.24,0,13.0,1843.13,0.5862,app
31,26,F,RJ,intermediario,461.41,3557.71,4271.82,22,6,9,0.0,1527.07,545.12,309.21,214.99,123.98,232.82,0,19.0,6427.55,0.2297,app
32,45,F,MG,basico,425.2,4335.14,7782.58,15,0,13,2154.46,1255.74,492.74,254.98,47.89,101.99,220.54,0,0.0,1864.84,0.3696,agencia
33,39,F,SP,basico,391.61,3896.61,5540.98,21,2,7,0.0,976.75,377.34,243.64,79.31,21.05,90.36,0,11.0,4935.08,0.3071,app
34,55,Outro,SP,premium,808.77,14807.76,20225.78,79,5,32,17520.21,7318.87,1136.35,1473.2,771.29,42.07,630.84,1,0.0,6031.43,0.3097,web
35,45,F,CE,premium,806.73,13543.81,32033.74,75,1,26,16646.89,4368.45,1522.72,653.61,,16.47,629.74,1,2.0,20026.84,0.148,app
36,49,F,SP,intermediario,544.99,3000.0,4186.84,6,1,4,0.0,529.1,159.24,56.66,18.52,34.91,19.67,1,,10892.84,0.2459,app
37,35,M,AM,basico,348.39,2742.73,3542.96,20,3,7,0.0,709.1,161.9,147.66,89.43,79.86,100.31,0,5.0,3611.56,0.3668,web
38,29,F,SE,basico,436.78,1500.0,2366.77,28,0,1,0.0,743.25,242.42,166.94,46.93,35.76,60.42,0,19.0,2442.16,0.3229,app
39,33,M,SP,intermediario,608.34,3801.23,10491.84,83,1,8,33326.89,2358.16,666.31,271.48,331.06,128.8,437.05,1,0.0,7439.2,0.2004,telefone
40,18,M,DF,basico,482.6,1532.36,1117.13,127,1,4,1418.35,690.03,106.0,152.4,48.0,74.6,94.22,0,6.0,1378.03,0.1641,telefone
41,48,F,MG,basico,454.6,2103.58,1065.35,4,0,10,0.0,441.6,103.96,35.23,39.46,43.51,65.79,0,13.0,3153.8,0.2938,app
42,47,M,PA,basico,636.44,2604.97,1257.12,42,2,5,0.0,1084.02,198.35,218.89,52.47,29.49,85.01,0,9.0,1494.6,0.378,web
43,70,M,SP,basico,415.91,6164.84,4873.12,56,1,9,10358.23,2337.37,767.41,334.14,94.19,12.94,423.27,0,21.0,2953.81,0.4448,web
44,44,F,SC,premium,929.31,13116.36,30070.49,49,1,35,140755.18,1591.27,606.36,190.22,33.49,177.98,62.34,0,7.0,9145.34,0.1427,web
45,26,F,CE,basico,788.2,2069.34,450.05,47,0,2,0.0,282.92,71.11,53.4,16.22,19.95,26.43,0,0.0,1941.79,0.2979,web
46,22,M,MT,intermediario,521.17,3899.45,7031.16,6,1,5,17928.27,1783.76,530.32,394.24,151.13,193.52,129.83,0,8.0,2000.0,0.2086,app
47,46,M,ES,basico,546.32,5160.94,11668.45,51,2,11,493.45,2919.74,1115.14,499.35,347.95,222.48,115.05,0,2.0,916.27,0.6126,telefone
48,43,M,SP,basico,504.68,3056.74,3938.16,17,1,6,0.0,2060.18,675.4,505.38,216.58,157.44,347.58,0,16.0,2173.88,0.3148,app
49,53,F,GO,basico,537.08,8667.03,24321.07,5,0,14,0.0,3238.22,694.93,290.14,371.51,257.01,331.89,1,8.0,4139.43,0.3029,app
50,24,M,SP,basico,494.03,1768.93,979.2,5,2,0,0.0,972.06,348.52,198.64,37.25,39.58,156.96,0,6.0,1491.27,0.4394,telefone
51,54,M,PR,premium,719.08,16328.16,21611.19,27,3,29,52099.98,4326.44,857.81,962.99,274.06,392.52,831.8,1,24.0,14320.72,0.5649,app
52,34,F,MG,intermediario,496.97,3931.54,11150.7,163,2,5,1011.14,1410.75,426.57,253.3,104.1,83.9,266.56,1,3.0,4512.68,0.2972,agencia
53,60,F,SP,premium,751.09,8915.19,2318.42,26,4,17,16726.97,6151.2,1032.29,1404.21,762.61,235.08,1123.36,0,2.0,15507.09,0.4994,web
54,52,F,RJ,premium,760.54,13934.08,15258.47,102,3,32,71101.86,4031.27,1527.37,517.3,392.83,10.12,463.8,0,3.0,16152.79,0.4514,app
55,24,M,RJ,intermediario,389.2,5414.14,12156.61,96,2,10,7618.18,1114.41,322.3,113.05,26.24,128.71,188.72,1,11.0,6740.17,0.0884,app
56,46,M,RJ,premium,895.04,8000.0,14552.96,52,3,10,161969.19,5508.01,1566.4,507.38,653.6,257.73,1062.42,1,6.0,7620.23,0.1891,web
57,18,M,PE,basico,532.85,2677.55,938.0,4,2,6,660.41,749.95,134.23,171.98,61.32,33.55,90.49,0,4.0,3294.68,0.5174,app
58,21,F,MG,basico,812.4,1842.0,2506.7,6,2,8,7764.48,1237.62,348.68,82.29,71.23,59.73,134.74,0,2.0,1416.9,0.2548,app
59,21,M,ES,basico,171.28,6550.75,14554.03,107,2,15,905.69,1657.18,452.8,338.99,129.28,133.19,192.71,1,4.0,986.28,0.2094,app
60,27,M,PR,basico,597.13,2673.33,4185.74,34,0,5,0.0,1840.2,468.51,196.12,161.28,147.46,279.7,1,,2181.66,0.2363,web
61,31,Outro,PR,basico,542.4,3788.06,10717.92,10,3,9,0.0,880.0,186.63,143.01,113.24,36.39,32.98,0,3.0,761.83,0.819,web
62,36,M,AL,basico,298.38,2953.13,440.33,31,1,3,0.0,1325.75,384.53,143.37,88.4,151.87,59.74,1,69.0,2819.84,0.2384,agencia
63,41,F,ES,intermediario,643.42,4366.37,8782.35,9,3,12,0.0,757.41,120.22,96.07,44.08,79.88,143.0,0,42.0,4134.21,0.2731,app
64,34,F,SP,basico,476.15,,983.57,54,5,7,640.04,390.12,89.07,41.23,26.63,32.3,76.19,0,39.0,2037.03,0.4881,web
65,38,M,SC,basico,556.62,2136.53,1473.34,10,2,8,3358.56,949.36,148.0,137.7,54.36,11.76,155.42,1,,3547.22,0.3462,app
66,20,F,BA,basico,374.18,1665.12,926.31,34,2,6,276.2,759.07,127.69,100.64,79.1,0.6,39.73,0,6.0,2045.26,0.1342,app
67,35,M,AL,basico,296.35,2425.25,6934.86,1,0,2,1064.21,627.91,162.11,112.64,78.32,62.0,120.84,0,8.0,1459.33,0.1859,app
68,54,M,CE,intermediario,656.67,4813.05,5630.72,53,3,14,0.0,1306.22,501.78,310.07,54.07,72.23,164.62,1,11.0,7148.62,0.22,app
69,33,M,RS,basico,536.5,3621.99,2354.01,11,0,5,0.0,1014.6,210.09,76.39,78.6,61.38,117.21,0,5.0,3192.44,0.3939,telefone
70,52,F,SP,premium,749.44,8000.0,13151.81,36,6,13,127865.78,3966.47,1036.32,382.04,426.8,91.92,560.34,1,7.0,7070.04,0.3104,app
71,44,Outro,SP,intermediario,725.1,3000.0,7156.31,5,0,9,0.0,372.24,55.85,20.28,35.62,0.49,18.61,0,31.0,2533.8,0.0156,agencia
72,45,F,RS,basico,,3656.32,6251.78,58,0,6,0.0,1269.89,398.85,148.85,125.51,49.03,118.49,0,9.0,1798.61,0.4838,app
73,38,F,RR,basico,,1761.07,3606.25,1,0,4,0.0,756.56,201.87,133.45,83.21,58.01,112.67,0,2.0,2198.05,0.4618,agencia
74,48,F,AM,intermediario,559.76,3000.0,5012.8,38,4,9,10642.28,1782.11,334.82,342.15,36.87,174.8,293.87,0,2.0,4662.31,0.0689,telefone
75,45,M,RS,intermediario,498.9,3000.0,3305.8,91,4,5,10083.17,1047.68,188.91,95.03,69.0,40.33,205.47,0,2.0,4507.2,0.4826,app
76,46,M,ES,intermediario,541.21,6575.22,10820.84,33,3,16,16139.16,3469.45,890.72,486.39,188.12,217.17,384.9,0,1.0,4666.71,0.1963,app
77,44,M,SP,intermediario,436.33,4510.1,12999.58,48,2,9,5514.09,682.79,197.93,128.99,19.84,20.15,28.85,0,8.0,2745.26,0.1684,app
78,22,M,RJ,basico,503.11,4058.49,10856.44,11,0,9,0.0,1334.3,426.94,272.86,82.02,96.48,56.34,0,35.0,2469.08,0.2138,agencia
79,20,M,MG,basico,534.46,2191.84,1365.41,4,3,3,2185.23,1528.48,542.23,201.01,36.42,35.17,166.64,0,1.0,1778.86,0.2664,app
80,30,F,CE,basico,285.89,1500.0,1086.96,10,0,3,1314.47,248.92,45.34,51.35,36.44,7.51,43.89,0,3.0,500.0,0.4585,web
81,61,F,MA,premium,875.93,14354.95,14387.44,80,4,36,49249.79,7687.0,2859.24,1449.09,458.71,696.34,450.14,0,1.0,12330.78,0.577,web
82,38,F,MG,intermediario,679.9,,6664.42,25,3,13,1045.76,3068.36,998.85,596.34,,342.45,535.57,0,11.0,8780.27,0.2324,app
83,38,M,RS,basico,402.22,1514.31,3589.68,16,1,7,0.0,994.35,326.45,189.95,72.62,6.48,111.5,0,4.0,1470.76,0.6002,app
84,18,M,SP,basico,,1509.12,3036.51,12,1,1,700.99,1037.97,231.61,124.69,43.7,28.45,133.28,0,23.0,1951.07,0.1931,app
85,37,M,RJ,basico,407.33,3201.7,3997.3,1,0,7,0.0,1924.14,349.37,135.54,255.97,200.27,64.74,0,60.0,1017.51,0.6468,app
86,36,F,PA,basico,301.84,1976.49,3738.11,2,0,9,120.57,789.2,177.28,115.57,33.94,68.41,,1,0.0,3918.82,0.2883,web
87,18,M,SP,intermediario,545.38,4112.78,8700.57,3,3,6,19577.04,1930.94,582.4,192.89,109.71,82.11,184.79,0,13.0,12838.13,0.278,app
88,42,M,GO,intermediario,640.01,6069.22,16897.8,39,0,15,1544.35,4088.77,1375.36,324.54,597.06,35.67,605.63,1,3.0,3474.05,0.046,app
89,33,M,PR,premium,795.2,8000.0,1759.13,15,4,13,24231.98,5417.27,1742.81,888.79,,134.53,513.23,0,58.0,6347.47,0.1519,telefone
90,26,F,RJ,basico,532.34,2349.85,6544.82,1,1,1,0.0,1080.37,306.73,81.21,117.64,61.61,151.69,0,84.0,2859.86,0.5724,app
91,46,F,RS,basico,510.9,1520.75,2207.1,1,1,3,0.0,479.39,122.01,24.43,44.38,45.51,34.12,0,4.0,1213.86,0.4307,agencia
92,41,F,RS,intermediario,610.1,3783.97,2578.73,13,5,9,21451.69,2252.61,870.38,436.02,297.49,199.61,153.26,0,1.0,6627.3,0.3279,web
93,35,F,AP,intermediario,661.44,10452.79,8360.71,38,1,23,2781.89,6654.5,1175.49,1548.32,510.04,234.23,870.21,0,23.0,7099.74,0.287,app
94,34,F,CE,intermediario,832.56,4452.8,7932.4,24,3,11,0.0,3017.16,639.82,223.01,437.21,207.32,165.21,0,34.0,3302.64,0.2156,app
95,35,M,MG,intermediario,570.1,5891.11,12611.15,23,3,16,63372.26,1974.22,606.06,429.0,71.17,148.94,211.45,0,3.0,5558.6,0.3058,web
96,36,F,PI,basico,615.67,3179.75,4343.78,1,0,6,0.0,1543.53,528.94,345.81,132.77,58.9,56.84,0,8.0,1494.31,0.2406,web
97,20,M,AL,basico,453.44,4028.02,4639.87,14,1,7,0.0,2218.43,663.2,349.22,136.0,229.4,378.02,0,2.0,1232.05,0.1834,agencia
98,48,F,PR,basico,,2719.86,1612.28,12,2,8,0.0,680.28,218.63,48.77,72.45,45.87,64.61,0,5.0,1063.61,0.4177,app
99,21,M,SE,basico,409.34,,507.89,20,2,4,2514.91,819.41,303.27,101.14,96.55,4.54,157.16,1,39.0,763.09,0.4934,telefone
100,18,F,SC,basico,458.45,3878.04,5535.41,40,0,8,226.66,2369.71,492.41,387.2,306.65,270.33,365.83,0,3.0,3796.79,0.7564,web
101,46,M,CE,basico,161.13,,2384.66,23,1,3,0.0,649.36,139.87,51.04,71.58,18.18,126.88,0,1.0,1551.41,0.4652,app
102,35,F,RS,intermediario,502.49,11968.09,18767.93,126,4,22,0.0,4555.51,898.34,1067.45,249.9,277.85,605.16,1,1.0,5965.59,0.2867,app
103,35,M,SC,basico,674.0,2046.84,4168.39,46,3,5,,959.35,190.8,191.55,53.5,88.41,172.95,0,58.0,2201.53,0.374,app
104,42,M,MG,basico,327.28,4255.42,2521.84,25,3,5,0.0,2968.66,750.15,431.96,308.73,137.42,426.36,0,9.0,3959.58,0.3641,web
105,41,F,SP,premium,873.94,8000.0,9256.09,81,8,13,234596.84,3007.98,486.03,600.54,442.72,289.31,290.44,0,18.0,8083.03,0.1593,app
106,36,M,MG,basico,515.86,3314.73,4570.22,10,0,8,0.0,988.95,180.18,165.26,133.69,96.71,44.02,0,1.0,1764.2,0.4593,app
107,42,F,MG,basico,343.76,4007.46,10561.55,8,1,5,6569.65,2017.09,801.19,466.13,281.47,175.54,176.19,0,7.0,1044.6,0.223,agencia
108,56,M,DF,intermediario,551.82,5653.2,572.16,27,2,8,0.0,3122.93,578.06,287.02,163.73,163.0,,0,3.0,13063.83,0.2403,agencia
109,28,F,MG,basico,157.83,1500.0,488.5,2,1,2,838.17,1039.11,209.58,149.72,136.24,77.89,169.56,0,1.0,1475.47,0.341,app
110,29,F,RS,basico,869.81,2950.71,2365.0,44,1,4,183.33,1848.85,389.48,397.46,57.64,138.46,228.26,0,,3361.58,0.6782,app
111,41,M,GO,basico,328.76,5368.12,5858.08,5,0,5,0.0,2293.36,778.69,127.79,205.52,130.15,159.96,0,4.0,2738.93,0.1638,app
112,37,M,PR,basico,672.3,4436.82,1717.71,9,2,9,1268.67,1870.07,654.29,236.44,255.16,102.45,90.52,0,2.0,2077.64,0.3376,app
113,46,Outro,MG,premium,762.6,8747.06,7628.26,48,3,16,18676.03,1780.17,565.02,344.11,147.99,161.87,324.75,1,1.0,26569.76,0.0636,agencia
114,55,M,SP,intermediario,432.24,4167.07,597.13,23,1,7,0.0,2865.71,986.94,694.28,100.05,75.7,243.83,0,0.0,2215.83,0.5692,app
115,23,F,GO,intermediario,905.94,4228.2,10070.63,54,4,5,23630.94,1327.42,527.37,247.4,75.22,97.31,172.31,1,11.0,20333.93,0.3956,web
116,35,F,AL,premium,839.8,11229.12,6128.75,39,3,24,17226.35,3720.9,601.35,421.76,473.47,79.38,261.32,1,4.0,5000.0,0.0987,app
117,23,M,SP,intermediario,812.34,3000.0,1456.97,10,5,6,8498.68,1312.66,438.85,203.6,133.8,16.58,259.81,1,3.0,2484.99,0.2702,app
118,49,F,PE,basico,570.86,1500.0,3691.93,11,1,1,2674.01,198.95,41.49,24.08,5.5,17.48,16.81,0,0.0,616.34,0.5958,web
119,52,F,PR,premium,793.3,28509.11,17797.33,112,4,54,24585.52,13544.62,4692.81,2077.53,1144.36,1573.79,2136.07,1,1.0,19055.49,0.3369,web
120,18,M,MA,basico,318.14,2107.71,5380.34,8,3,3,0.0,1055.51,288.15,130.96,96.88,52.83,148.94,0,10.0,2973.35,0.1682,app
121,38,F,SP,intermediario,529.14,3000.0,4555.22,21,2,6,0.0,593.97,140.63,85.09,53.06,53.47,42.76,0,16.0,2346.15,0.2211,web
122,47,F,MG,premium,634.5,,4659.29,45,4,30,84562.63,5212.83,892.81,604.01,580.29,458.66,672.46,1,0.0,27448.63,0.1485,app
123,18,M,SP,basico,256.04,8162.93,7722.82,45,1,13,0.0,3523.99,1352.45,832.09,448.75,48.93,548.92,0,17.0,1573.37,0.3968,app
124,37,M,RJ,basico,,4670.37,13003.36,25,1,12,0.0,1064.12,421.98,168.41,50.86,40.46,119.15,0,2.0,2087.73,0.1644,app
125,20,M,RS,basico,157.26,3041.84,5590.34,23,0,5,3922.95,1758.36,545.41,305.1,163.62,102.31,100.54,0,17.0,500.0,0.4386,app
126,43,F,AL,basico,285.6,1500.0,4377.01,3,1,3,82.66,845.98,177.38,83.71,,87.65,143.25,0,8.0,623.23,0.2891,app
127,28,M,SP,intermediario,507.59,6543.52,10667.05,89,2,14,0.0,4324.91,1188.57,261.71,127.42,446.14,,0,15.0,8634.24,0.1781,app
128,49,M,PE,premium,764.87,8000.0,4353.83,6,6,14,52676.24,1476.86,480.61,243.8,198.3,19.91,191.81,1,0.0,11093.59,0.3322,app
129,50,F,CE,basico,487.79,2036.46,5614.61,16,0,4,0.0,570.84,174.7,79.07,84.13,16.55,64.73,1,14.0,2031.41,0.262,app
130,46,M,SP,basico,399.87,1500.0,4088.87,7,1,4,0.0,922.86,203.06,196.43,129.48,96.67,35.06,0,167.0,1006.1,0.1556,agencia
131,41,F,AP,basico,315.62,1500.0,3350.38,52,3,4,0.0,400.31,132.12,82.93,33.86,39.74,71.12,0,2.0,1215.32,0.305,app
132,34,M,SP,basico,350.39,3638.91,1522.88,15,0,3,854.08,1807.82,398.12,351.6,67.14,6.37,107.23,0,9.0,727.88,0.5974,app
133,18,F,SP,basico,510.61,3169.82,960.36,38,0,13,0.0,1666.97,578.86,168.8,67.26,49.04,252.33,0,3.0,837.67,0.6449,app
134,29,F,RO,basico,247.27,3190.64,3886.12,10,1,8,0.0,1520.5,504.78,276.32,73.56,104.02,55.97,0,25.0,1143.5,0.1348,app
135,45,M,MG,premium,901.81,8000.0,17563.79,45,0,22,0.0,1300.15,505.02,302.62,152.19,99.08,254.51,1,16.0,6387.67,0.4025,app
136,31,M,RJ,basico,320.8,2290.45,2295.94,29,4,6,2561.16,551.82,196.43,108.13,59.17,23.4,66.96,0,9.0,2637.06,0.1885,telefone
137,18,M,RJ,basico,646.79,2378.64,3318.41,23,2,8,70.19,251.5,89.22,28.84,11.71,15.71,41.17,0,4.0,1336.27,0.595,app
138,44,M,SP,intermediario,358.21,3357.56,1942.41,28,4,8,13564.64,1689.66,598.33,138.5,45.58,197.08,211.02,1,31.0,3188.94,0.1165,web
139,20,M,PE,basico,435.14,4456.72,13221.38,30,1,6,0.0,864.86,183.09,113.01,26.63,25.15,146.23,1,1.0,2864.29,0.1403,telefone
140,61,M,GO,premium,847.02,9418.13,25853.98,94,3,21,13429.04,1074.18,322.56,72.43,70.95,9.13,66.99,1,0.0,5000.0,0.2914,app
141,49,M,RS,premium,850.78,9365.72,15920.9,34,4,19,5686.48,1650.28,456.23,336.84,196.09,118.18,131.07,0,97.0,8761.65,0.1952,app
142,46,M,SP,basico,336.06,1632.08,3394.94,1,1,1,0.0,1033.84,350.84,253.12,114.4,17.35,198.58,0,4.0,3249.37,0.5111,web
143,46,M,RS,basico,479.97,4231.23,6015.27,8,2,8,0.0,2133.53,344.59,444.52,259.41,224.11,365.34,0,0.0,1973.6,0.4249,app
144,59,M,SE,basico,535.2,1500.0,2173.95,7,2,3,,744.76,160.12,100.14,104.14,13.11,114.95,0,10.0,2327.13,0.4334,web
145,37,M,SP,basico,339.05,2099.18,6043.56,12,0,4,0.0,479.52,168.34,38.13,26.47,10.29,62.29,0,1.0,1617.5,0.5258,app
146,30,M,SP,basico,341.2,2618.07,5159.83,1,0,3,0.0,424.41,126.31,97.87,20.1,37.44,74.3,0,7.0,5912.91,0.3067,app
147,36,F,MG,intermediario,513.53,3000.0,653.99,22,0,4,5353.53,313.55,75.91,50.87,46.24,14.66,27.69,0,4.0,3629.53,0.5251,app
148,52,M,PB,basico,384.21,1834.51,4777.51,27,2,3,0.0,730.32,275.29,53.94,59.95,5.21,104.97,0,6.0,991.06,0.4424,telefone
149,19,M,MG,basico,734.4,3409.68,7761.1,4,3,12,0.0,438.65,108.97,43.42,45.97,44.43,56.12,0,3.0,876.66,0.3994,app
150,24,F,CE,basico,469.31,6169.88,11619.93,51,1,15,1253.44,2536.97,870.59,392.11,,36.04,136.72,0,5.0,2366.19,0.4664,web
151,50,M,SP,premium,812.41,33015.53,58754.34,125,0,61,133853.36,4630.65,1462.76,290.49,434.73,235.22,852.26,1,14.0,9699.88,0.3619,app
152,33,M,MG,basico,140.47,1500.0,1401.45,56,0,5,0.0,792.19,134.1,173.5,85.47,29.24,50.45,1,4.0,1118.91,0.1145,agencia
153,46,M,BA,basico,474.34,2772.0,775.96,50,2,4,2250.75,1297.84,270.5,241.77,159.49,0.37,257.95,0,1.0,1698.81,0.4556,app
154,18,F,PR,basico,356.28,3896.78,1640.98,43,1,5,666.58,2718.38,658.72,610.49,115.81,114.06,442.35,0,2.0,518.39,0.3329,web
155,47,M,PR,premium,818.1,10038.72,12669.14,43,8,20,37118.77,6178.92,1762.51,1279.24,219.01,497.07,415.99,1,1.0,18106.91,0.6169,web
156,32,F,MG,basico,725.95,3495.11,8851.4,62,0,7,0.0,1114.59,360.83,91.35,100.43,9.89,222.27,0,2.0,583.68,0.4537,web
157,29,F,SC,intermediario,299.78,3000.0,1581.99,31,3,8,0.0,935.41,255.11,201.22,57.9,38.69,158.9,1,1.0,2000.0,0.2621,app
158,48,F,MA,intermediario,576.37,3959.69,4046.97,16,3,11,18046.27,793.86,220.15,66.47,96.67,71.55,116.18,0,68.0,5154.86,0.1513,app
159,33,F,SP,basico,492.31,1500.0,1916.71,44,3,4,0.0,208.88,57.58,48.46,31.12,19.12,25.34,0,12.0,3655.31,0.3155,agencia
160,38,M,MG,intermediario,444.16,3560.62,9192.49,89,2,5,1846.1,621.2,112.69,63.29,86.42,4.03,42.1,0,4.0,2812.16,0.4811,app
161,25,F,CE,basico,494.27,1500.0,3004.88,15,1,1,0.0,767.17,232.61,69.75,95.17,22.4,94.67,0,2.0,1691.33,0.5688,telefone
162,36,F,DF,intermediario,520.34,3000.0,8417.72,3,1,8,7022.46,1751.91,312.85,392.25,124.89,10.6,314.09,0,5.0,2226.17,0.1338,app
163,29,F,SC,intermediario,,4611.02,1579.95,4,1,7,26410.74,994.06,323.72,184.86,85.69,42.6,40.97,0,8.0,2442.81,0.392,web
164,45,F,MG,basico,557.12,2517.05,1667.84,141,0,2,0.0,1234.98,278.5,223.15,141.09,138.75,,0,1.0,1848.18,0.6204,web
165,47,M,RJ,basico,,5312.36,15243.88,4,1,11,183.87,1419.04,518.4,161.18,165.73,15.57,237.0,0,26.0,500.0,0.5927,app
166,56,M,RS,intermediario,546.36,6204.44,2077.9,40,3,7,18650.95,1026.68,302.33,166.73,127.9,22.55,195.72,0,13.0,2000.0,0.0272,app
167,40,Outro,MG,basico,590.49,1500.0,644.97,43,1,3,229.36,416.37,78.24,74.58,44.31,38.31,83.03,1,51.0,2662.39,0.2026,agencia
168,30,F,PE,basico,757.8,1651.24,3618.74,92,2,2,342.37,230.93,80.03,56.21,34.27,,37.3,0,3.0,2778.78,0.3029,app
169,29,M,CE,basico,347.18,5027.64,6932.37,18,0,13,0.0,3076.23,1143.62,700.35,74.97,254.15,306.63,0,0.0,2124.01,0.6236,agencia
170,44,Outro,PR,intermediario,665.38,4462.64,5017.52,8,1,6,8510.74,2808.48,670.84,211.97,249.65,190.21,183.9,1,,7682.96,0.3389,app
